open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,date
1646650800000.0,38018.9,38399.54,37970.73,38337.05,1504.32371,1646654399999.0,57476753.2357639,37651.0,728.38718,27832296.4551923,0.0,2022-03-07 12:59:59.999
1646654400000.0,38337.05,38765.16,38337.05,38596.21,2760.17956,1646657999999.0,106531791.3431034,68322.0,1355.26496,52307641.2614592,0.0,2022-03-07 13:59:59.999
1646658000000.0,38596.22,39183.49,38531.2,39025.77,3248.38539,1646661599999.0,126320660.0483143,76546.0,1711.88468,66573880.0125704,0.0,2022-03-07 14:59:59.999
1646661600000.0,39025.78,39285.0,38847.16,38847.16,3414.49045,1646665199999.0,133438935.2340168,75876.0,1710.25151,66845067.6551531,0.0,2022-03-07 15:59:59.999
1646665200000.0,38847.17,39199.41,38631.0,39071.48,3518.56666,1646668799999.0,136932254.6717714,71909.0,1808.32764,70369021.7730685,0.0,2022-03-07 16:59:59.999
1646668800000.0,39071.49,39547.57,38752.65,38828.33,4110.97263,1646672399999.0,161224522.6145339,88177.0,1952.18689,76557801.259,0.0,2022-03-07 17:59:59.999
1646672400000.0,38828.33,38997.39,38526.6,38601.7,2781.09113,1646675999999.0,107776068.9364965,61683.0,1291.45041,50054969.5898045,0.0,2022-03-07 18:59:59.999
1646676000000.0,38601.7,38601.71,37776.21,37979.79,4501.53328,1646679599999.0,171567945.0841296,92560.0,2101.80083,80104216.2255281,0.0,2022-03-07 19:59:59.999
1646679600000.0,37979.79,38033.87,37192.78,37308.94,4688.84209,1646683199999.0,176008315.0163306,103330.0,2114.58511,79374008.5156499,0.0,2022-03-07 20:59:59.999
1646683200000.0,37308.94,37831.97,37155.0,37590.01,3227.84331,1646686799999.0,121102851.6467823,75524.0,1790.35096,67181339.118276,0.0,2022-03-07 21:59:59.999
1646686800000.0,37590.0,38267.56,37500.34,37836.35,3211.95499,1646690399999.0,121665232.2170668,73927.0,1681.9619,63706312.9856714,0.0,2022-03-07 22:59:59.999
1646690400000.0,37836.35,38489.48,37788.58,38211.47,2282.44101,1646693999999.0,87133774.0112268,51586.0,1151.30621,43948287.1447116,0.0,2022-03-07 23:59:59.999
1646694000000.0,38211.47,38517.82,37887.04,37988.0,2478.44815,1646697599999.0,94650664.3801365,48893.0,1228.4823,46912357.0290182,0.0,2022-03-08 00:59:59.999
1646697600000.0,37988.01,38373.88,37867.65,38200.0,2361.47953,1646701199999.0,90115006.7179484,51223.0,1201.46718,45846698.4360424,0.0,2022-03-08 01:59:59.999
1646701200000.0,38199.99,38492.9,38043.12,38268.96,2199.44393,1646704799999.0,84312312.255115,46682.0,1084.73486,41581207.9514609,0.0,2022-03-08 02:59:59.999
